SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,Label
192.225.158.68,172.17.0.2,443,41902,2023-10-28 12:53:01,0.515873,9324,18074.215940745104,0,0.0,1062655.5621301774,1030.851862359562,717.2307692307693,66.0,66,1.8952212039666063,0.6317404013222022,1.4372666463614658,0.028727570856852,0.1694920967386151,0.3246436153846153,0.367628,0.0,-0.7608210431488198,1.9153908744504449,0.5220866473465451,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,192.225.158.68,41954,443,2023-10-28 12:53:01,2.400824,6096,2539.128232640127,0,0.0,697590.3305785125,835.2187321764955,554.1818181818181,264.0,66,1.0422963722052798,0.5844957726339132,1.5071204156728102,0.801395730073091,0.8952070878143732,0.519202,0.07913,0.0,1.4747604414340327,0.5799797690025214,1.7241980728394213,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
192.225.158.68,172.17.0.2,443,41954,2023-10-28 12:53:01,2.636348,2976,1128.8342813619447,0,0.0,86392.5,293.92601109803127,248.0,66.0,66,1.857610348809504,0.619203449603168,1.1851855286210935,1.0921740213161877,1.0450712996327989,0.70332175,0.089299,0.0,1.7626244741839503,0.67298924986948,1.485907836111707,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
192.225.158.3,172.17.0.2,443,44474,2023-10-28 12:53:01,0.351124,2358,6715.576263656144,0,0.0,62374.23668639056,249.74834671402843,181.3846153846154,66.0,66,1.3860105610637168,0.4620035203545722,1.3768992821384094,0.0143052825943313,0.1196046930280386,0.2019152307692307,0.157999,0.0,1.1015344713673296,1.6881881944372887,0.5923510206356599,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
192.225.158.68,172.17.0.2,443,41888,2023-10-28 12:53:01,2.615446,7184,2746.7590613608536,0,0.0,972915.24,986.3646587342836,718.4,66.0,66,1.984256007825245,0.6614186692750816,1.3730020305321322,1.0543639543812,1.0268222603650545,1.029496,0.457647,0.0,1.6707341340555772,1.0026038972255966,0.9974028654458634,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,192.225.158.3,44474,443,2023-10-28 12:53:01,0.364126,6574,18054.190033120405,0,0.0,611383.1360946745,781.9099283770954,505.6923076923077,97.0,66,1.5680539133474427,0.5623311480452966,1.5462167734868026,0.0127246079525325,0.1128034039935521,0.1855060769230769,0.250755,0.0,-1.7352913325377848,1.644507792811646,0.608084683071207,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.18.32.7,172.17.0.2,443,56796,2023-10-28 12:53:01,29.845345,5029,168.5019891711756,0,0.0,20809.29580246913,144.25427481523428,111.75555555555556,66.0,66,0.9515604777916108,0.317186825930537,1.290801822765071,68.04897638992962,8.249180346551386,7.611725488888889,0.336002,0.0,2.6459805156025755,0.9227250671117904,1.083746432867687,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,104.18.32.7,56796,443,2023-10-28 12:53:01,29.830987,105548,3538.2000602259654,0,0.0,2961590.16682056,1720.9271242038578,1851.719298245614,1457.0,2848,0.6880929924819809,-0.5789209128860058,0.9293671701938444,52.26090664890329,7.2291705367146575,5.298978894736842,0.240904,0.0,2.099027074703172,0.7329995699817862,1.36425728056682,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
192.225.158.3,172.17.0.2,443,44478,2023-10-28 12:53:01,26.43086,1353,51.19016180328601,0,0.0,22525.272727272728,150.0842187815652,123.0,66.0,66,1.139360296427141,0.3797867654757136,1.2201969006631317,136.8985218806819,11.700364177267383,7.300673090909092,0.158776,0.0,1.8311986659659023,0.623969731223713,1.6026418429605973,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.217.2.42,172.17.0.2,443,55218,2023-10-28 12:53:01,29.581174,2390,80.7946297195642,0,0.0,18762.06094182825,136.97467262902384,125.78947368421052,66.0,66,1.3095006369420212,0.4365002123140071,1.088919991611487,81.92617544946681,9.051307941367746,3.180398263157895,0.090719,0.0,1.0240550702192812,0.3513744404410688,2.8459668231551865,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.18.40.222,172.17.0.2,443,52014,2023-10-28 12:53:01,0.04511,843,18687.652405231653,0,0.0,42972.64,207.29843221790173,168.6,66.0,66,1.4848158604328276,0.4949386201442759,1.2295280677218372,0.00028658702576,0.0169288814090004,0.0268498,0.022688,0.0,0.7375206724150128,1.586035093005319,0.6305030729837994,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.18.40.222,172.17.0.2,443,52030,2023-10-28 12:53:01,0.048536,897,18481.12741058184,0,0.0,37634.583333333336,193.99634876289124,149.5,66.0,54,1.2912614159876246,0.4922773062946832,1.2976344398855602,0.0003126819201388,0.0176828142595823,0.0305871666666666,0.033607,0.0,-0.5123336063483582,1.7297680232144848,0.5781122015087705,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.18.40.222,172.17.0.2,443,52044,2023-10-28 12:53:01,29.590137,10625,359.07234900602185,0,0.0,7244.164643311365,85.11265853744298,114.247311827957,66.0,66,1.7005923439719102,0.5668641146573034,0.7449860935512657,18.22843494407659,4.2694771277144214,0.7842463333333333,0.158283,0.0,0.4398407448561014,0.1836867395875157,5.444051117928196,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.18.40.222,172.17.0.2,443,52048,2023-10-28 12:53:01,0.045593,897,19674.072774329394,0,0.0,37634.583333333336,193.99634876289124,149.5,66.0,54,1.2912614159876246,0.4922773062946832,1.2976344398855602,0.000292850348,0.0171128708287066,0.029428,0.0325465,0.0,-0.5466937776627308,1.7196413328051778,0.5815166110067513,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.18.40.222,172.17.0.2,443,52050,2023-10-28 12:53:01,0.045283,909,20073.758364065983,0,0.0,37272.583333333336,193.0610870510506,151.5,66.0,66,1.3285950261544648,0.442865008718155,1.2743306075976937,0.0002822312889166,0.0167997407395669,0.0288855,0.0321095,0.0,-0.5757231703713361,1.7194015340944202,0.5815977130244234,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
104.18.40.222,172.17.0.2,443,52056,2023-10-28 12:53:01,0.047168,897,19017.130257801895,0,0.0,37634.583333333336,193.99634876289124,149.5,66.0,54,1.2912614159876246,0.4922773062946832,1.2976344398855602,0.0003124041463333,0.0176749581706247,0.029692,0.0319895,0.0,-0.3899584900548812,1.679890821430473,0.5952767806353466,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,104.18.40.222,52056,443,2023-10-28 12:53:01,0.027372,4214,153952.94461493497,0,0.0,1266037.7599999998,1125.1834339342186,842.8,74.0,66,2.0497991086978966,0.6903763213824688,1.3350539083225186,0.00010698510496,0.0103433604287968,0.0204272,0.02371,0.0,-0.9521470384596856,1.9749094252897617,0.506352335552441,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,104.18.40.222,52044,443,2023-10-28 12:53:01,29.569051,372152,12585.862157023572,0,0.0,29130825.748899493,5397.298004455516,2930.330708661417,1317.0,97,0.8967435413032219,0.5249535427398077,1.8418733382216157,6.7720696563928735,2.6023200526439623,0.3742896456692913,0.137149,0.059405,0.2733798774232508,0.121001506078919,6.952690470479317,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,104.18.40.222,52050,443,2023-10-28 12:53:01,0.025318,4150,163915.0011849277,0,0.0,1393988.75,1180.6730072293517,1037.5,561.0,66,1.2107501325490306,0.8228357843801213,1.1379980792572062,0.00011045830925,0.010509914806981,0.0181665,0.023674,0.0,-1.5720869582144612,1.7285106809746107,0.5785327282074737,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,172.217.2.42,55218,443,2023-10-28 12:53:01,29.559591,42241,1429.0116531044018,0,0.0,8491498.533950618,2914.0175932809016,2346.722222222222,873.0,66,1.5172065799674397,0.7826727702266032,1.241739463532024,45.630897496875214,6.755064581251257,1.7079896666666665,0.070055,0.0,0.727425169796053,0.252845793866606,3.9549797712971673,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,104.18.40.222,52048,443,2023-10-28 12:53:01,0.025301,4149,163985.6132168689,0,0.0,1393983.6875,1180.6708633230517,1037.25,560.5,66,1.211387563147359,0.8226255344917828,1.1382702948402523,0.00011508228125,0.010727640991849,0.0185415,0.0244325,0.0,-1.6474264951099775,1.7283855802117154,0.578574602478173,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,104.18.40.222,52030,443,2023-10-28 12:53:01,0.027291,4148,151991.49902898393,0,0.0,1393979.0,1180.6688782211547,1037.0,560.0,66,1.2120248330387131,0.8224151732219361,1.138542794813071,0.0001226217931875,0.0110734724990627,0.01904525,0.024445,0.0,-1.46288799663981,1.7198986137015195,0.5814296215099719,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,104.18.40.222,52014,443,2023-10-28 12:53:01,0.023705,4083,172242.14300780426,0,0.0,3333372.6666666665,1825.7526301957407,1361.0,74.0,66,2.11474431757278,0.7092965271320253,1.3414787877999568,0.0001248516046666,0.0111737014756376,0.015802,0.023701,0.0,-2.120783345757652,1.4142135472702209,0.7071067887379847,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
172.17.0.2,192.225.158.3,44478,443,2023-10-28 12:53:01,26.349104,5389,204.52308359327887,0,0.0,892370.484375,944.653631959884,673.625,250.5,66,1.343746487658564,0.6432251774011107,1.402343487786059,129.4260339286527,11.376556329955596,6.644420375,0.0770185,0.0,1.7318250842851406,0.5840449589744996,1.7121969544191573,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
20.230.171.39,172.17.0.2,443,56026,2023-10-28 12:53:01,24.907286,10260,411.92765843697293,0,0.0,1598432.0,1264.2911057189322,1140.0,66.0,66,2.548463708575904,0.8494879028586346,1.1090272857183616,132.25118020347875,11.500051313080249,9.99479288888889,0.078567,0.0,2.5868299937784003,0.8691085471523707,1.1506042637326424,-1,-1,-1,,-1,,-0.0,1.0,NonDoH
