SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
172.17.0.2,108.156.107.121,39418,443,2023-10-16 13:27:47,0.065744,13610,207015.0888293988805062058895,0,0E+6,3962073.9506172836,1990.4959057022156,1512.2222222222222,333.0,66,1.7772790471621862,0.7265637764333998,1.3162720904717076,0.0004847626988888888888888888889,0.02201732724217199095606872908,0.03851033333333333333333333333,0.026138,0.0,1.685808617537649811896309787,1.749092108672057,0.5717251796185956398560229483,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,172.67.72.66,48204,443,2023-10-16 13:27:47,0.295264,26780,90698.49355153354286333586214,0,0E+6,1921727.5124653738,1386.2638682680054,1409.4736842105262,1015.0,66,0.8536766193799323,0.9691327278760132,0.9835329909295035,0.01491949007403878116343490304,0.1221453645212898824866237308,0.1674354736842105263157894737,0.084132,0.0,2.046008229883110334215687491,1.3707886037298338,0.7295070861247750955264623182,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
142.250.191.98,172.17.0.2,443,33340,2023-10-16 13:27:48,0.378369,3995,10558.47598508334456575459406,0,0E+6,9553.758477096966,97.74332957852913,97.4390243902439,66.0,66,0.9649463915075177,0.32164879716917255,1.0031230319698858,0.01885750976600118976799524093,0.1373226484087792044357271750,0.2384382682926829268292682927,0.338161,0.0,-2.178578687409185095763938948,1.7363360746066072,0.5759253721815144239783098918,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,142.250.191.98,33340,443,2023-10-16 13:27:48,0.378637,176196,465342.7953422407213241178226,0,0E+6,14737347.573562698,3838.925314923787,3748.851063829787,2866.0,2866,0.6899204788363907,0.2299734929454636,1.0240271618051375,0.01665595243628700769578995020,0.1290579421666369500453605446,0.2211144255319148936170212766,0.313252,0.0,-2.141772282773243960886291661,1.7132957632813988,0.5836703862996454374669537228,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
104.244.42.195,172.17.0.2,443,46738,2023-10-16 13:27:48,0.090089,897,9956.820477527778086114841990,0,0E+6,37634.583333333336,193.99634876289124,149.5,66.0,54,1.2912614159876246,0.4922773062946832,1.2976344398855602,0.001144215704222222222222222222,0.03382625761479123812389227321,0.05817033333333333333333333333,0.064431,0.0,-0.5552491266958003048187981516,1.7196798414938204,0.5815035891397889781829043421,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
104.244.42.195,172.17.0.2,443,46740,2023-10-16 13:27:48,23.950271,12754,532.5200704409565971090682022,0,0E+6,40340.946956212174,200.85055876499865,240.64150943396226,170.0,66,1.055135368330466,0.869509701679736,0.8346463552254139,86.03785178489971377714489143,9.275659102451949952059624144,19.30733994339622641509433962,23.763402,0.0,-1.441211457014148179700066753,2.081505985735556,0.4804213904994480630286683510,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
104.244.42.69,172.17.0.2,443,48538,2023-10-16 13:27:48,23.976088,13264,553.2178560572517084521878632,0,0E+6,38327.36146197259,195.77375069700378,217.44262295081967,170.0,66,0.7270017984828712,0.7735593888948128,0.9003467123429758,88.49931374546775275463585054,9.407407387025808650867305342,19.10050242622950819672131148,23.742165,0.0,-1.480215233425106165402649647,2.030368372541397,0.4925214623730113463661163823,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
104.244.42.69,172.17.0.2,443,48548,2023-10-16 13:27:48,0.126666,951,7507.934252285538344938657572,0,0E+6,33374.97959183673,182.68820320928424,135.85714285714286,66.0,54,1.1471535922401481,0.44807021700995564,1.344708120362765,0.001538720859632653061224489796,0.03922653259762648281101011987,0.06754028571428571428571428571,0.083467,0.0,-1.218056751211141608244567542,1.7218010678408124,0.5807871877173525635008753275,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,104.244.42.195,46740,443,2023-10-16 13:27:48,23.910388,16392,685.5597659059317648881314682,0,0E+6,169080.375,411.1938411503752,341.5,232.5,66,0.7952453740191474,0.6700003074687312,1.2040815260625921,85.69041688848301388888888879,9.256911844048371074931809031,19.34580516666666666666666667,23.7725285,0.0,-1.434622066595388200449399002,2.0898767853239133,0.4784971090269364807396605572,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
172.17.0.2,104.244.42.195,46738,443,2023-10-16 13:27:48,0.050140,3708,73952.93179098524132429198245,0,0E+6,1212699.0,1101.2261348151885,927.0,440.0,66,1.3267029848008374,0.7818557631167152,1.1879462079991245,0.00046591537025,0.02158507285718535627847952005,0.0373815,0.049693,0.0,-1.711113056896865791835297010,1.7318218125706366,0.5774266109488746111975046494,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
